,Grade,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도,보온재,고도,음/양지_0,음/양지_1,가정용/일반용_0,가정용/일반용_1
0,2,0.764900662,0.728460256,0.098360656,0,0.645016797,0,1,1,0,1,0
1,2,0.811258278,0.761534186,0.081967213,0,0.603583427,0,1,1,0,1,0
2,2,0.870860927,0.823513063,0.147540984,0,0.553191489,0,1,1,0,1,0
3,2,0.890728477,0.230683713,0.229508197,0,0.539753639,0,1,1,0,1,0
4,2,0.880794702,0.33713174,0.180327869,0,0.569988802,0,1,1,0,1,0
5,2,0.80794702,0.214841579,0.114754098,0,0.664053751,0,1,1,0,1,0
6,2,0.78807947,0.748749305,0.196721311,0,0.64837626,0,1,1,0,1,0
7,2,0.668874172,0,0.06557377,0,0.802911534,0,1,1,0,1,0
8,2,0.609271523,0,0.016393443,0,0.921612542,0,1,1,0,1,0
9,2,0.569536424,0,0.016393443,0,1,0,1,1,0,1,0
10,2,0.523178808,0,0.032786885,0,1,0,1,1,0,1,0
11,2,0.496688742,0,0.049180328,0,1,0,1,1,0,1,0
12,2,0.483443709,0,0.032786885,0,1,0,1,1,0,1,0
13,2,0.476821192,0,0,0,1,0,1,1,0,1,0
14,2,0.453642384,0,0.016393443,0,1,0,1,1,0,1,0
15,2,0.460264901,0,0.032786885,0,1,0,1,1,0,1,0
16,2,0.447019868,0,0.032786885,0,1,0,1,1,0,1,0
17,2,0.430463576,0,0.016393443,0,1,0,1,1,0,1,0
19,2,0.407284768,0.283212896,0.081967213,0,1,0,1,1,0,1,0
20,2,0.427152318,0,0.016393443,0,1,0,1,1,0,1,0
21,2,0.496688742,0,0.06557377,0,1,0,1,1,0,1,0
22,2,0.718543046,0.116175653,0.081967213,0,1,0,1,1,0,1,0
23,2,0.811258278,0.512506948,0.131147541,0,0.568868981,0,1,1,0,1,0
24,2,0.804635762,0.526959422,0.196721311,0,0.508398656,0,1,1,0,1,0
25,2,0.857615894,0.763201779,0.147540984,0,0.449048152,0,1,1,0,1,0
26,2,0.850993377,0.329071707,0.081967213,0,0.404255319,0,1,1,0,1,0
27,2,0.841059603,0.536687048,0.081967213,0,0.456886898,0,1,1,0,1,0
28,2,0.798013245,0,0.049180328,0,0.493840985,0,1,1,0,1,0
29,2,0.675496689,0,0.032786885,0,0.653975364,0,1,1,0,1,0
30,2,0.622516556,0,0.016393443,0,0.749160134,0,1,1,0,1,0
31,2,0.592715232,0,0.032786885,0,0.78387458,0,1,1,0,1,0
32,2,0.549668874,0,0.016393443,0,0.856662934,0,1,1,0,1,0
33,2,0.556291391,0,0,0,0.882418813,0,1,1,0,1,0
34,2,0.559602649,0,0.016393443,0,0.912653975,0,1,1,0,1,0
35,2,0.566225166,0,0,0,0.883538634,0,1,1,0,1,0
36,2,0.539735099,0,0.016393443,0,0.961926092,0,1,1,0,1,0
37,2,0.516556291,0,0.032786885,0,1,0,1,1,0,1,0
38,2,0.5,0.844080044,0.081967213,0,1,0,1,1,0,1,0
39,2,0.483443709,0,0.032786885,0,1,0,1,1,0,1,0
40,2,0.463576159,0.747637576,0.081967213,0,1,0,1,1,0,1,0
42,2,0.433774834,0,0.016393443,0,1,0,1,1,0,1,0
43,2,0.427152318,0,0.06557377,0,1,0,1,1,0,1,0
44,2,0.5,0,0.049180328,0,1,0,1,1,0,1,0
45,2,0.602649007,0,0.06557377,0,0.993281075,0,1,1,0,1,0
46,2,0.735099338,0,0.06557377,0,0.543113102,0,1,1,0,1,0
47,2,0.778145695,0.001945525,0.295081967,0,0.410974244,0,1,1,0,1,0
48,2,0.801324503,0.965536409,0.409836066,0,0.352743561,0,1,1,0,1,0
49,2,0.778145695,0.911895497,0.180327869,0,0.349384099,0,1,1,0,1,0
50,2,0.801324503,0.815175097,0.409836066,0,0.270996641,0,1,1,0,1,0
51,2,0.738410596,0.939410784,0.295081967,0,0.313549832,0,1,1,0,1,0
52,2,0.665562914,0.951917732,0.393442623,0,0.363941769,0,1,1,0,1,0
53,2,0.622516556,0.933018344,0.131147541,0,0.396416573,0,1,1,0,1,0
54,2,0.572847682,0.871317399,0.278688525,0,0.402015677,0,1,1,0,1,0
55,2,0.539735099,0.732629238,0.163934426,0,0.329227324,0,1,1,0,1,0
56,2,0.493377483,0.893829906,0.229508197,0,0.370660694,0,1,1,0,1,0
57,2,0.463576159,0.274041134,0.147540984,0,0.356103024,0,1,1,0,1,0
58,2,0.417218543,0.398554753,0.081967213,0,0.396416573,0,1,1,0,1,0
59,2,0.420529801,0.024458032,0.409836066,0,0.360582307,0,1,1,0,1,0
60,2,0.397350993,0.032240133,0.327868852,0,0.409854423,0,1,1,0,1,0
62,2,0.28807947,0.706225681,0.098360656,0,0.517357223,0,1,1,0,1,0
64,2,0.298013245,0,0.032786885,0,0.557670773,0,1,1,0,1,0
65,2,0.394039735,0.333796554,0.114754098,0,0.314669653,0,1,1,0,1,0
66,2,0.483443709,0.765703168,0.180327869,0,0.226203807,0,1,1,0,1,0
67,2,0.509933775,0.070872707,0.196721311,0,0.142217245,0,1,1,0,1,0
68,2,0.566225166,0.230127849,0.163934426,0,0.116461366,0,1,1,0,1,0
69,2,0.572847682,0.518621456,0.163934426,0,0.101903695,0,1,1,0,1,0
70,2,0.609271523,0.580322401,0.114754098,0,0.101903695,0,1,1,0,1,0
71,2,0.529801325,0.602556976,0.180327869,0,0.161254199,0,1,1,0,1,0
72,2,0.450331126,0.586992774,0.114754098,0,0.326987682,0,1,1,0,1,0
73,2,0.433774834,0.570038911,0.196721311,0,0.287793953,0,1,1,0,1,0
74,2,0.347682119,0.745414119,0.098360656,0,0.442329227,0,1,1,0,1,0
75,2,0.314569536,0,0.049180328,0,0.475923852,0,1,1,0,1,0
76,2,0.274834437,0,0.032786885,0,0.556550952,0,1,1,0,1,0
77,2,0.251655629,0,0.016393443,0,0.582306831,0,1,1,0,1,0
78,2,0.221854305,0,0.049180328,0,0.67525196,0,1,1,0,1,0
79,2,0.201986755,0,0,0,0.665173572,0,1,1,0,1,0
80,2,0.195364238,0,0.016393443,0,0.68868981,0,1,1,0,1,0
81,2,0.178807947,0,0.016393443,0,0.722284434,0,1,1,0,1,0
82,2,0.158940397,0,0,0,0.755879059,0,1,1,0,1,0
83,2,0.152317881,0,0,0,0.767077268,0,1,1,0,1,0
84,2,0.142384106,0,0.049180328,0,0.800671892,0,1,1,0,1,0
85,2,0.129139073,0,0.016393443,0,0.835386338,0,1,1,0,1,0
86,2,0.125827815,0,0.016393443,0,0.846584546,0,1,1,0,1,0
87,2,0.129139073,0,0.06557377,0,0.839865622,0,1,1,0,1,0
88,2,0.221854305,0.151473041,0.081967213,0,0.742441209,0,1,1,0,1,0
89,2,0.370860927,0.170094497,0.114754098,0,0.590145577,0,1,1,0,1,0
90,2,0.509933775,0.290161201,0.114754098,0,0.453527436,0,1,1,0,1,0
91,2,0.629139073,0.710950528,0.098360656,0,0.348264278,0,1,1,0,1,0
92,2,0.629139073,0.132573652,0.229508197,0,0.366181411,0,1,1,0,1,0
93,2,0.662251656,0.182323513,0.114754098,0,0.347144457,0,1,1,0,1,0
94,2,0.682119205,0.060867148,0.180327869,0,0.33818589,0,1,1,0,1,0
95,2,0.619205298,0.524458032,0.278688525,0,0.424412094,0,1,1,0,1,0
96,2,0.523178808,0,0.032786885,0,0.56774916,0,1,1,0,1,0
97,2,0.463576159,0,0.016393443,0,0.656215006,0,1,1,0,1,0
98,2,0.440397351,0.434130072,0.081967213,0,0.670772676,0,1,1,0,1,0
99,2,0.394039735,0.962757087,0.114754098,0,0.763717805,0,1,1,0,1,0
100,2,0.397350993,0.035853252,0.147540984,0,0.782754759,0,1,1,0,1,0
101,2,0.377483444,0.979988883,0.098360656,0,0.802911534,0,1,1,0,1,0
102,2,0.364238411,0,0.06557377,0,0.840985442,0,1,1,0,1,0
103,2,0.337748344,0.299610895,0.098360656,0,0.903695409,0,1,1,0,1,0
104,2,0.341059603,0,0.049180328,0,0.902575588,0,1,1,0,1,0
105,2,0.321192053,0,0.016393443,0,0.9462486,0,1,1,0,1,0
106,2,0.30794702,0,0.016393443,0,1,0,1,1,0,1,0
107,2,0.304635762,0.474152307,0.098360656,0,1,0,1,1,0,1,0
108,2,0.281456954,0,0.032786885,0,1,0,1,1,0,1,0
109,2,0.284768212,0.779321845,0.081967213,0,1,0,1,1,0,1,0
110,2,0.304635762,0.789327404,0.081967213,0,1,0,1,1,0,1,0
111,2,0.341059603,0,0.032786885,0,1,0,1,1,0,1,0
112,2,0.40397351,0,0.032786885,0,1,0,1,1,0,1,0
113,2,0.509933775,0.366036687,0.114754098,0,0.75699888,0,1,1,0,1,0
114,2,0.695364238,0.219566426,0.147540984,0,0.565509518,0,1,1,0,1,0
115,2,0.791390728,0.958310172,0.180327869,0,0.456886898,0,1,1,0,1,0
116,2,0.834437086,0.228738188,0.31147541,0,0.43225084,0,1,1,0,1,0
117,2,0.857615894,0.36381323,0.409836066,0,0.431131019,0,1,1,0,1,0
118,2,0.887417219,0.286548082,0.295081967,0,0.397536394,0,1,1,0,1,0
119,2,0.874172185,0.41217343,0.540983607,0,0.402015677,0,1,1,0,1,0
120,2,0.854304636,0.40967204,0.459016393,0,0.428891377,0,1,1,0,1,0
121,2,0.701986755,0.625347415,0.131147541,0,0.587905935,0,1,1,0,1,0
122,2,0.629139073,0.096164536,0.147540984,0,0.71556551,0,1,1,0,1,0
123,2,0.556291391,0,0.049180328,0,0.796192609,0,1,1,0,1,0
124,2,0.509933775,0.090050028,0.081967213,0,0.871220605,0,1,1,0,1,0
125,2,0.48013245,0,0.032786885,0,0.998880179,0,1,1,0,1,0
126,2,0.430463576,0,0.016393443,0,1,0,1,1,0,1,0
127,2,0.413907285,0,0.016393443,0,1,0,1,1,0,1,0
128,2,0.427152318,0.667315175,0.098360656,0,1,0,1,1,0,1,0
130,2,0.417218543,0,0.016393443,0,1,0,1,1,0,1,0
131,2,0.42384106,0,0.032786885,0,1,0,1,1,0,1,0
132,2,0.447019868,0,0.049180328,0,1,0,1,1,0,1,0
133,2,0.450331126,0,0.016393443,0,1,0,1,1,0,1,0
134,2,0.463576159,0,0.06557377,0,1,0,1,1,0,1,0
135,2,0.486754967,0,0.032786885,0,1,0,1,1,0,1,0
136,2,0.506622517,0.34991662,0.180327869,0,1,0,1,1,0,1,0
137,2,0.543046358,0.202612563,0.196721311,0,1,0,1,1,0,1,0
138,2,0.566225166,0,0.049180328,0,1,0,1,1,0,1,0
139,2,0.619205298,0.187326292,0.098360656,0,1,0,1,1,0,1,0
140,2,0.645695364,0.099777654,0.114754098,0,0.977603583,0,1,1,0,1,0
141,2,0.675496689,0.164813785,0.098360656,0,0.920492721,0,1,1,0,1,0
142,2,0.721854305,0.11700945,0.147540984,0,0.811870101,0,1,1,0,1,0
143,2,0.718543046,0,0.049180328,0,0.780515118,0,1,1,0,1,0
144,2,0.675496689,0.363257365,0.081967213,0,0.944008959,0,1,1,0,1,0
145,2,0.602649007,0,0.032786885,0,1,0,1,1,0,1,0
146,2,0.569536424,0.343246248,0.147540984,0,1,0,1,1,0,1,0
147,2,0.509933775,0,0.049180328,0,1,0,1,1,0,1,0
148,2,0.523178808,0,0.06557377,0,1,0,1,1,0,1,0
149,2,0.536423841,0,0.049180328,0,1,0,1,1,0,1,0
150,2,0.543046358,0,0.049180328,0,1,0,1,1,0,1,0
151,2,0.526490066,0.994997221,0.098360656,0,1,0,1,1,0,1,0
152,2,0.513245033,0.086436909,0.131147541,0,1,0,1,1,0,1,0
153,2,0.509933775,0.114785992,0.196721311,0,1,0,1,1,0,1,0
154,2,0.506622517,0,0.032786885,0,1,0,1,1,0,1,0
155,2,0.509933775,0.572818232,0.098360656,0,1,0,1,1,0,1,0
156,2,0.59602649,0.749027237,0.245901639,0,0.544232923,0,1,1,0,1,0
157,2,0.599337748,0.773763202,0.491803279,0,0.400895857,0,1,1,0,1,0
158,2,0.533112583,0.838243469,0.196721311,0,0.408734602,0,1,1,0,1,0
159,2,0.490066225,0.6934408,0.180327869,0,0.369540873,0,1,1,0,1,0
160,2,0.529801325,0.950250139,0.360655738,0,0.305711086,0,1,1,0,1,0
161,2,0.516556291,0.747359644,0.803278689,0,0.235162374,0,1,1,0,1,0
162,2,0.523178808,0.919677599,0.540983607,0,0.18924972,0,1,1,0,1,0
163,2,0.543046358,0.758198999,0.803278689,0,0.166853303,0,1,1,0,1,0
164,2,0.486754967,0.974708171,0.524590164,0,0.181410974,0,1,1,0,1,0
165,2,0.476821192,0.76459144,0.754098361,0,0.20268757,0,1,1,0,1,0
166,2,0.466887417,0.755975542,0.754098361,0,0.212765957,0,1,1,0,1,0
167,2,0.427152318,0.770705948,0.442622951,0,0.28443449,0,1,1,0,1,0
168,1,0.394039735,0.797387437,0.409836066,0,0.274356103,0,1,1,0,1,0
169,2,0.354304636,0.832406893,0.344262295,0,0.333706607,0,1,1,0,1,0
170,2,0.311258278,0.838799333,0.278688525,0,0.493840985,0,1,1,0,1,0
171,2,0.311258278,0.762645914,0.262295082,0,0.397536394,0,1,1,0,1,0
172,2,0.298013245,0.944413563,0.344262295,0,0.348264278,0,1,1,0,1,0
173,2,0.271523179,0.929127293,0.229508197,0,0.352743561,0,1,1,0,1,0
174,2,0.248344371,0.954974986,0.213114754,0,0.369540873,0,1,1,0,1,0
175,2,0.185430464,0,0.06557377,0,0.503919373,0,1,1,0,1,0
176,2,0.225165563,0.058365759,0.491803279,0,0.465845465,0,1,1,0,1,0
177,2,0.182119205,0.877431907,0.245901639,0,0.517357223,0,1,1,0,1,0
178,2,0.188741722,0.097276265,0.114754098,0,0.464725644,0,1,1,0,1,0
180,2,0.248344371,0.530294608,0.147540984,0,0.366181411,0,1,1,0,1,0
181,2,0.354304636,0.624791551,0.213114754,0,0.185890258,0,1,1,0,1,0
182,2,0.400662252,0.752084491,0.229508197,0,0.09518477,0,1,1,0,1,0
183,2,0.447019868,0.58782657,0.278688525,0,0.09518477,0,1,1,0,1,0
184,2,0.463576159,0.309060589,0.098360656,0,0.136618141,0,1,1,0,1,0
185,2,0.483443709,0.195664258,0.327868852,0,0.184770437,0,1,1,0,1,0
186,2,0.453642384,0.307670928,0.426229508,0,0.17581187,0,1,1,0,1,0
187,2,0.374172185,0.408838243,0.163934426,0,0.291153415,0,1,1,0,1,0
188,2,0.304635762,0.773207337,0.147540984,0,0.430011198,0,1,1,0,1,0
189,2,0.30794702,0,0.06557377,0,0.449048152,0,1,1,0,1,0
190,2,0.291390728,0.801000556,0.098360656,0,0.469204927,0,1,1,0,1,0
191,2,0.254966887,0,0.049180328,0,0.600223964,0,1,1,0,1,0
197,2,0.317880795,0.799888827,0.114754098,0,0.666293393,0,1,1,0,1,0
199,2,0.609271523,0.959699833,0.360655738,0,0.301231803,0,1,1,0,1,0
200,2,0.612582781,0.031684269,0.459016393,0,0.307950728,0,1,1,0,1,0
201,2,0.658940397,0.844357977,0.37704918,0,0.220604703,0,1,1,0,1,0
202,2,0.658940397,0.94024458,0.393442623,0,0.228443449,0,1,1,0,1,0
203,2,0.622516556,0.99749861,0.37704918,0,0.249720045,0,1,1,0,1,0
204,2,0.599337748,0.9032796,0.196721311,0,0.258678611,0,1,1,0,1,0
205,2,0.562913907,0.55725403,0.081967213,0,0.267637178,0,1,1,0,1,0
206,2,0.413907285,0,0.06557377,0,0.464725644,0,1,1,0,1,0
207,2,0.357615894,0,0.016393443,0,0.562150056,0,1,1,0,1,0
208,2,0.321192053,0,0.06557377,0,0.631578947,0,1,1,0,1,0
209,2,0.281456954,0,0.06557377,0,0.690929451,0,1,1,0,1,0
210,2,0.271523179,0.832684825,0.081967213,0,0.726763718,0,1,1,0,1,0
211,2,0.245033113,0,0.016393443,0,0.764837626,0,1,1,0,1,0
212,2,0.245033113,0,0.016393443,0,0.771556551,0,1,1,0,1,0
214,2,0.231788079,0.86381323,0.098360656,0,0.786114222,0,1,1,0,1,0
215,2,0.231788079,0,0.049180328,0,0.811870101,0,1,1,0,1,0
217,2,0.390728477,0,0.06557377,0,0.759238522,0,1,1,0,1,0
218,2,0.483443709,0.239577543,0.081967213,0,0.630459127,0,1,1,0,1,0
219,2,0.632450331,0.962479155,0.131147541,0,0.460246361,0,1,1,0,1,0
220,2,0.705298013,0.14118955,0.37704918,0,0.416573348,0,1,1,0,1,0
221,2,0.768211921,0.212340189,0.459016393,0,0.393057111,0,1,1,0,1,0
222,2,0.811258278,0.919399666,0.327868852,0,0.347144457,0,1,1,0,1,0
223,2,0.804635762,0.335186215,0.278688525,0,0.356103024,0,1,1,0,1,0
224,2,0.794701987,0.645358533,0.409836066,0,0.360582307,0,1,1,0,1,0
225,2,0.781456954,0.711506392,0.327868852,0,0.371780515,0,1,1,0,1,0
226,2,0.652317881,0.862979433,0.098360656,0,0.529675252,0,1,1,0,1,0
227,2,0.592715232,0.915786548,0.163934426,0,0.619260918,0,1,1,0,1,0
228,2,0.523178808,0.725125069,0.081967213,0,0.697648376,0,1,1,0,1,0
229,2,0.447019868,0,0.06557377,0,0.815229563,0,1,1,0,1,0
230,2,0.437086093,0.437743191,0.081967213,0,0.848824188,0,1,1,0,1,0
231,2,0.377483444,0,0.06557377,0,0.908174692,0,1,1,0,1,0
232,2,0.354304636,0,0.032786885,0,0.944008959,0,1,1,0,1,0
233,2,0.344370861,0,0.016393443,0,1,0,1,1,0,1,0
234,2,0.324503311,0,0.032786885,0,1,0,1,1,0,1,0
235,2,0.314569536,0,0.06557377,0,1,0,1,1,0,1,0
236,2,0.301324503,0,0.049180328,0,1,0,1,1,0,1,0
237,2,0.294701987,0,0.049180328,0,1,0,1,1,0,1,0
