,Grade,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도,보온재,고도,음/양지_0,음/양지_1,가정용/일반용_0,가정용/일반용_1
0,0,10.4,262.1,0.6,0,66.2,0,29,1,0,1,0
1,0,11.8,274,0.5,0,62.5,0,29,1,0,1,0
2,0,13.6,296.3,0.9,0,58,0,29,1,0,1,0
3,0,14.2,83,1.4,0,56.8,0,29,1,0,1,0
4,0,13.9,121.3,1.1,0,59.5,0,29,1,0,1,0
5,0,11.7,77.3,0.7,0,67.9,0,29,1,0,1,0
6,0,11.1,269.4,1.2,0,66.5,0,29,1,0,1,0
7,0,7.5,0,0.4,0,80.3,0,29,1,0,1,0
8,0,5.7,0,0.1,0,90.9,0,29,1,0,1,0
9,0,4.5,0,0.1,0,97.9,0,29,1,0,1,0
10,0,3.1,0,0.2,0,97.9,0,29,1,0,1,0
11,0,2.3,0,0.3,0,97.9,0,29,1,0,1,0
12,0,1.9,0,0.2,0,97.9,0,29,1,0,1,0
13,0,1.7,0,0,0,97.9,0,29,1,0,1,0
14,0,1,0,0.1,0,97.9,0,29,1,0,1,0
15,0,1.2,0,0.2,0,97.9,0,29,1,0,1,0
16,0,0.8,0,0.2,0,97.9,0,29,1,0,1,0
17,0,0.3,0,0.1,0,97.9,0,29,1,0,1,0
19,0,-0.4,101.9,0.5,0,97.9,0,29,1,0,1,0
20,0,0.2,0,0.1,0,97.9,0,29,1,0,1,0
21,0,2.3,0,0.4,0,97.9,0,29,1,0,1,0
22,0,9,41.8,0.5,0,97.9,0,29,1,0,1,0
23,0,11.8,184.4,0.8,0,59.4,0,29,1,0,1,0
24,0,11.6,189.6,1.2,0,54,0,29,1,0,1,0
25,0,13.2,274.6,0.9,0,48.7,0,29,1,0,1,0
26,0,13,118.4,0.5,0,44.7,0,29,1,0,1,0
27,0,12.7,193.1,0.5,0,49.4,0,29,1,0,1,0
28,0,11.4,0,0.3,0,52.7,0,29,1,0,1,0
29,0,7.7,0,0.2,0,67,0,29,1,0,1,0
30,0,6.1,0,0.1,0,75.5,0,29,1,0,1,0
31,0,5.2,0,0.2,0,78.6,0,29,1,0,1,0
32,0,3.9,0,0.1,0,85.1,0,29,1,0,1,0
33,0,4.1,0,0,0,87.4,0,29,1,0,1,0
34,0,4.2,0,0.1,0,90.1,0,29,1,0,1,0
35,0,4.4,0,0,0,87.5,0,29,1,0,1,0
36,0,3.6,0,0.1,0,94.5,0,29,1,0,1,0
37,0,2.9,0,0.2,0,97.9,0,29,1,0,1,0
38,0,2.4,303.7,0.5,0,97.9,0,29,1,0,1,0
39,0,1.9,0,0.2,0,97.9,0,29,1,0,1,0
40,0,1.3,269,0.5,0,97.9,0,29,1,0,1,0
42,0,0.4,0,0.1,0,97.9,0,29,1,0,1,0
43,0,0.2,0,0.4,0,97.9,0,29,1,0,1,0
44,0,2.4,0,0.3,0,97.9,0,29,1,0,1,0
45,0,5.5,0,0.4,0,97.3,0,29,1,0,1,0
46,0,9.5,0,0.4,0,57.1,0,29,1,0,1,0
47,0,10.8,0.7,1.8,0,45.3,0,29,1,0,1,0
48,0,11.5,347.4,2.5,0,40.1,0,29,1,0,1,0
49,0,10.8,328.1,1.1,0,39.8,0,29,1,0,1,0
50,0,11.5,293.3,2.5,0,32.8,0,29,1,0,1,0
51,0,9.6,338,1.8,0,36.6,0,29,1,0,1,0
52,0,7.4,342.5,2.4,0,41.1,0,29,1,0,1,0
53,0,6.1,335.7,0.8,0,44,0,29,1,0,1,0
54,0,4.6,313.5,1.7,0,44.5,0,29,1,0,1,0
55,0,3.6,263.6,1,0,38,0,29,1,0,1,0
56,0,2.2,321.6,1.4,0,41.7,0,29,1,0,1,0
57,0,1.3,98.6,0.9,0,40.4,0,29,1,0,1,0
58,0,-0.1,143.4,0.5,0,44,0,29,1,0,1,0
59,0,0,8.8,2.5,0,40.8,0,29,1,0,1,0
60,0,-0.7,11.6,2,0,45.2,0,29,1,0,1,0
62,0,-4,254.1,0.6,0,54.8,0,29,1,0,1,0
64,0,-3.7,0,0.2,0,58.4,0,29,1,0,1,0
65,0,-0.8,120.1,0.7,0,36.7,0,29,1,0,1,0
66,0,1.9,275.5,1.1,0,28.8,0,29,1,0,1,0
67,0,2.7,25.5,1.2,0,21.3,0,29,1,0,1,0
68,0,4.4,82.8,1,0,19,0,29,1,0,1,0
69,0,4.6,186.6,1,0,17.7,0,29,1,0,1,0
70,0,5.7,208.8,0.7,0,17.7,0,29,1,0,1,0
71,0,3.3,216.8,1.1,0,23,0,29,1,0,1,0
72,0,0.9,211.2,0.7,0,37.8,0,29,1,0,1,0
73,0,0.4,205.1,1.2,0,34.3,0,29,1,0,1,0
74,0,-2.2,268.2,0.6,0,48.1,0,29,1,0,1,0
75,0,-3.2,0,0.3,0,51.1,0,29,1,0,1,0
76,0,-4.4,0,0.2,0,58.3,0,29,1,0,1,0
77,0,-5.1,0,0.1,0,60.6,0,29,1,0,1,0
78,0,-6,0,0.3,0,68.9,0,29,1,0,1,0
79,0,-6.6,0,0,0,68,0,29,1,0,1,0
80,0,-6.8,0,0.1,0,70.1,0,29,1,0,1,0
81,0,-7.3,0,0.1,0,73.1,0,29,1,0,1,0
82,0,-7.9,0,0,0,76.1,0,29,1,0,1,0
83,0,-8.1,0,0,0,77.1,0,29,1,0,1,0
84,0,-8.4,0,0.3,0,80.1,0,29,1,0,1,0
85,0,-8.8,0,0.1,0,83.2,0,29,1,0,1,0
86,0,-8.9,0,0.1,0,84.2,0,29,1,0,1,0
87,0,-8.8,0,0.4,0,83.6,0,29,1,0,1,0
88,0,-6,54.5,0.5,0,74.9,0,29,1,0,1,0
89,0,-1.5,61.2,0.7,0,61.3,0,29,1,0,1,0
90,0,2.7,104.4,0.7,0,49.1,0,29,1,0,1,0
91,0,6.3,255.8,0.6,0,39.7,0,29,1,0,1,0
92,0,6.3,47.7,1.4,0,41.3,0,29,1,0,1,0
93,0,7.3,65.6,0.7,0,39.6,0,29,1,0,1,0
94,0,7.9,21.9,1.1,0,38.8,0,29,1,0,1,0
95,0,6,188.7,1.7,0,46.5,0,29,1,0,1,0
96,0,3.1,0,0.2,0,59.3,0,29,1,0,1,0
97,0,1.3,0,0.1,0,67.2,0,29,1,0,1,0
